PartNo. 	 DateTime. 	 Clamp. 	 Main. 	 Top. 	 Bottom. 
129 	 8/28/20267:24:39 PM 	 24.672480 	 59.503860 	 17.297718 	 17.682748 	 1 
130 	 8/28/20267:24:39 PM 	 25.840673 	 59.472770 	 17.350323 	 17.950427 	 1 
131 	 8/28/20267:24:39 PM 	 25.581890 	 59.442805 	 17.754601 	 17.856433 	 1 
132 	 8/28/20267:24:40 PM 	 28.439178 	 59.436012 	 17.619442 	 17.865606 	 0 
133 	 8/28/20267:24:40 PM 	 31.445677 	 59.480510 	 17.514303 	 17.806478 	 0 
134 	 8/28/20267:24:40 PM 	 27.774450 	 59.527114 	 17.355067 	 17.916499 	 0 
135 	 8/28/20267:24:40 PM 	 0.000000 	 59.460858 	 17.743373 	 17.875102 	 0 
136 	 8/28/20267:24:40 PM 	 25.021221 	 59.534321 	 17.755287 	 17.803240 	 1 
137 	 8/28/20267:24:40 PM 	 24.920975 	 59.522485 	 17.784216 	 17.996601 	 1 
138 	 8/28/20267:24:40 PM 	 26.639982 	 59.638898 	 17.524493 	 17.840490 	 0 
139 	 8/28/20267:24:40 PM 	 26.428673 	 59.417077 	 17.930848 	 17.838075 	 0 
140 	 8/28/20267:24:40 PM 	 0.000000 	 59.472010 	 17.588979 	 17.811615 	 0 
141 	 8/28/20267:24:40 PM 	 25.350939 	 59.498539 	 17.621030 	 17.838441 	 1 
142 	 8/28/20267:24:40 PM 	 25.437662 	 59.621482 	 17.469921 	 17.765648 	 1 
143 	 8/28/20267:24:40 PM 	 28.361599 	 59.502909 	 17.666096 	 17.747159 	 0 
144 	 8/28/20267:24:40 PM 	 0.000000 	 59.445854 	 17.673897 	 17.896674 	 0 
145 	 8/28/20267:24:40 PM 	 25.255680 	 59.420536 	 17.832305 	 18.025432 	 0 
146 	 8/28/20267:24:40 PM 	 24.672480 	 59.503860 	 17.297718 	 17.682748 	 1 
147 	 8/28/20267:24:40 PM 	 25.840673 	 59.472770 	 17.350323 	 17.950427 	 1 
148 	 8/28/20267:24:41 PM 	 25.581890 	 59.442805 	 17.754601 	 17.856433 	 1 
149 	 8/28/20267:24:41 PM 	 28.439178 	 59.436012 	 17.619442 	 17.865606 	 0 
150 	 8/28/20267:24:41 PM 	 31.445677 	 59.480510 	 17.514303 	 17.806478 	 0 
151 	 8/28/20267:24:41 PM 	 27.774450 	 59.527114 	 17.355067 	 17.916499 	 0 
